Player,Team,Pos,GP,W%,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM
ADD,MVP,Top,36,28%,50%,45,83,128,2.1,66.30%,17.20%,21.80%,19%,-65,-149,-2.1,8.9,26.90%,412,25.10%,238,23.70%,0.51,0.2
Aiming,Afreeca Freecs,ADC,35,60%,44%,97,51,165,5.1,71.40%,26.40%,18.00%,29%,-168,-228,-7.9,9.7,28.40%,419,25.20%,296,25.40%,0.59,0.31
Alphamong,Gen.G,Top,1,0%,0%,2,3,1,1,75.00%,50.00%,20.00%,100%,581,51,1,8.6,28.30%,137,10.20%,230,23.00%,0.38,0
Ambition,Gen.G,Jungle,26,62%,35%,23,49,124,3,74.20%,11.60%,23.60%,23%,-88,-2,1.5,5.1,12.50%,148,9.10%,176,16.00%,0.48,0.45
Asper,Hanwha Life Esports,Support,1,0%,100%,1,2,5,3,60.00%,10.00%,20.00%,0%,-319,316,10,2,6.80%,65,4.40%,133,11.30%,1.98,0.6
Bang,SK Telecom T1,ADC,41,46%,51%,89,53,169,4.9,70.10%,24.20%,12.60%,29%,-47,-32,-4.3,9.8,28.00%,566,32.50%,283,25.20%,0.52,0.26
Bdd,Kingzone DragonX,Middle,43,65%,46%,128,66,189,4.8,70.40%,28.40%,17.50%,21%,23,-58,1.6,9.1,24.70%,449,25.20%,268,22.80%,0.5,0.15
Beyond,MVP,Jungle,41,27%,51%,63,101,159,2.2,76.00%,21.60%,23.00%,37%,-94,-68,0,4.7,12.00%,177,11.40%,162,16.00%,0.61,0.36
Blank,SK Telecom T1,Jungle,39,49%,51%,47,77,218,3.4,73.60%,13.10%,19.60%,44%,-40,-96,-2.6,4.7,11.90%,179,10.00%,176,15.60%,0.74,0.46
Blossom,SK Telecom T1,Jungle,5,20%,60%,10,15,12,1.5,64.70%,29.40%,23.40%,60%,369,166,4.6,6.5,19.10%,311,20.50%,216,21.80%,0.31,0.42
bonO,bbq Olivers,Jungle,7,0%,71%,6,33,31,1.1,80.40%,13.00%,34.70%,14%,-630,-582,-26.4,4.2,11.70%,169,13.90%,144,15.10%,0.43,0.38
Chovy,Griffin,Middle,33,70%,48%,115,31,166,9.1,71.10%,29.10%,14.40%,15%,-30,-43,-2.2,9.7,27.10%,437,25.70%,288,24.40%,0.45,0.25
Clever,Hanwha Life Esports,ADC,1,0%,0%,3,2,5,4,80.00%,30.00%,20.00%,0%,146,-203,6,9.3,25.50%,421,28.60%,296,25.10%,0.5,0.1
CoreJJ,Gen.G,Support,44,64%,51%,18,72,261,3.9,73.80%,4.80%,20.70%,16%,6,8,-1.3,1.4,4.40%,125,7.60%,110,9.60%,1.48,0.36
Crazy,bbq Olivers,Top,43,21%,37%,66,81,112,2.2,60.30%,22.40%,18.50%,7%,-79,-101,0.4,8.5,25.10%,343,24.20%,227,22.80%,0.5,0.16
Crown,Gen.G,Middle,3,67%,100%,4,4,8,3,66.70%,22.20%,15.40%,0%,-43,28,-1,9.2,24.60%,537,34.20%,243,23.40%,0.56,0.15
CuVee,Gen.G,Top,43,65%,45%,72,74,154,3.1,60.40%,19.30%,22.20%,14%,-45,-19,-2,9.4,26.80%,393,23.50%,270,23.50%,0.5,0.17
Cuzz,Kingzone DragonX,Jungle,13,46%,38%,14,35,55,2,67.00%,13.60%,24.00%,31%,54,96,4.8,6.1,16.10%,205,14.10%,210,19.30%,0.41,0.47
Deft,KT Rolster,ADC,43,67%,60%,98,65,190,4.4,65.80%,22.40%,17.00%,26%,62,2,1,9.7,27.60%,576,31.50%,288,24.80%,0.47,0.27
Effort,SK Telecom T1,Support,38,53%,64%,44,93,206,2.7,69.30%,12.20%,25.50%,32%,14,-25,1.4,1.7,5.00%,125,7.10%,120,10.40%,1.6,0.44
Faker,SK Telecom T1,Middle,25,40%,64%,63,55,110,3.1,74.90%,27.30%,19.30%,28%,126,143,3.4,9.6,28.00%,449,25.60%,274,24.70%,0.48,0.26
Fly,Gen.G,Middle,41,63%,56%,95,55,172,4.9,74.20%,26.40%,17.10%,15%,27,72,0.4,8.4,22.00%,382,23.00%,246,21.60%,0.5,0.21
Ghost,bbq Olivers,ADC,39,23%,41%,56,81,118,2.1,65.40%,21.10%,21.70%,15%,-94,-137,-4.2,9.2,27.40%,382,26.20%,247,24.60%,0.54,0.22
GorillA,Kingzone DragonX,Support,43,65%,41%,36,86,247,3.3,62.90%,8.00%,22.80%,28%,38,-21,0.4,1.5,4.60%,118,7.20%,113,9.60%,1.47,0.36
Haru,Gen.G,Jungle,18,67%,56%,46,37,77,3.3,68.30%,25.60%,26.40%,39%,237,305,9,6.1,17.30%,246,14.10%,231,19.30%,0.41,0.44
Hoon,Hanwha Life Esports,Top,1,0%,0%,3,2,4,3.5,70.00%,30.00%,20.00%,100%,1019,393,24,8.8,27.30%,359,24.40%,281,23.80%,0.47,0.42
Ian,MVP,Middle,41,27%,38%,88,81,138,2.8,77.40%,30.10%,18.40%,20%,-68,-178,-4.9,8.6,24.70%,390,23.80%,237,23.70%,0.59,0.24
IgNar,bbq Olivers,Support,43,21%,54%,24,75,178,2.7,68.50%,8.10%,17.20%,21%,-16,-11,-0.3,1.8,6.10%,122,8.50%,102,10.10%,1.63,0.41
Justice,Jin Air Green Wings,Middle,1,0%,100%,0,1,0,0,50.00%,,12.50%,0%,-62,280,-7,9.2,23.90%,225,13.20%,209,21.40%,0.62,0.2
KaKAO,Jin Air Green Wings,Jungle,4,0%,25%,1,9,4,0.6,41.70%,8.30%,23.70%,0%,-1,233,15.5,4.4,9.70%,80,7.10%,127,13.90%,0.61,0.36
Key,Hanwha Life Esports,Support,45,56%,50%,25,74,273,4,71.10%,6.00%,17.70%,27%,-18,-19,0.3,1.8,5.80%,123,7.70%,120,10.60%,1.53,0.44
Khan,Kingzone DragonX,Top,40,63%,58%,98,73,132,3.2,56.70%,24.10%,20.50%,28%,219,119,4.8,9.3,26.20%,450,27.30%,277,23.60%,0.56,0.21
Kiin,Afreeca Freecs,Top,46,57%,40%,114,74,174,3.9,62.10%,24.60%,19.90%,20%,113,111,5.5,9.6,28.00%,450,27.20%,286,25.10%,0.52,0.19
Kingen,KT Rolster,Top,1,0%,100%,1,3,2,1,100.00%,33.30%,42.90%,0%,-736,-903,-18,8,24.10%,141,10.80%,194,21.30%,0.63,0.2
Kramer,Afreeca Freecs,ADC,11,45%,18%,22,10,47,6.9,71.10%,22.70%,11.20%,18%,-204,-301,-12.4,9.5,28.50%,356,22.10%,273,25.30%,0.59,0.28
Kuro,Afreeca Freecs,Middle,46,57%,63%,117,66,219,5.1,72.40%,25.20%,17.70%,15%,-8,196,2.3,9.1,24.90%,453,27.90%,260,22.90%,0.58,0.32
Kuzan,Hanwha Life Esports,Middle,1,0%,0%,0,2,4,2,40.00%,0.00%,20.00%,0%,-728,-574,-5,8.3,22.70%,325,22.10%,223,18.90%,0.55,0.13
Lava,Hanwha Life Esports,Middle,45,56%,45%,108,91,206,3.5,74.90%,25.80%,21.80%,27%,-78,-119,-5.4,9,25.50%,450,27.00%,263,23.60%,0.5,0.22
Lehends,Griffin,Support,41,68%,51%,48,58,295,5.9,74.10%,10.40%,21.60%,34%,110,170,-0.1,1.7,5.50%,178,10.60%,128,10.80%,1.37,0.43
Leo,SK Telecom T1,ADC,3,33%,33%,5,4,14,4.8,73.10%,19.20%,11.10%,0%,-189,-10,-8,9.2,26.40%,475,28.30%,279,24.60%,0.55,0.22
Lindarang,Hanwha Life Esports,Top,45,56%,53%,89,103,166,2.5,60.90%,21.20%,24.60%,24%,-87,-99,-2.2,8.6,25.20%,406,24.00%,255,22.60%,0.5,0.12
MaHa,MVP,ADC,3,0%,67%,1,7,7,1.1,50.00%,6.30%,16.30%,0%,-128,-199,-4.3,9.2,28.20%,288,17.50%,224,24.50%,0.34,0.24
MaHa,MVP,Top,2,0%,50%,1,6,3,0.7,40.00%,10.00%,28.60%,0%,-690,-617,-11,7.4,23.00%,210,21.50%,158,18.70%,0.43,0.13
Mata,KT Rolster,Support,43,67%,30%,40,87,258,3.4,68.00%,9.10%,22.70%,26%,-24,-14,0.6,1.7,5.20%,128,7.20%,116,9.90%,1.78,0.45
Max,MVP,Support,33,27%,58%,21,77,144,2.1,67.60%,8.60%,22.10%,27%,-2,40,-2.6,1.6,5.50%,151,9.30%,109,10.40%,1.02,0.39
Max,MVP,Top,3,33%,67%,3,8,10,1.6,61.90%,14.30%,20.50%,0%,-370,-7,-10,7.1,20.90%,303,21.80%,194,19.00%,0.43,0.16
Mightybear,Hanwha Life Esports,Jungle,1,0%,0%,3,2,7,5,100.00%,30.00%,20.00%,100%,151,-373,7,5.9,17.80%,300,20.40%,246,20.80%,1.46,0.65
Motive,MVP,Support,8,25%,50%,1,21,37,1.8,79.20%,2.10%,22.80%,38%,-131,-224,-1.8,1.7,5.90%,138,10.40%,97,9.90%,1.08,0.25
Mowgli,Afreeca Freecs,Jungle,10,50%,67%,13,17,55,4,65.40%,12.50%,19.30%,20%,-144,-199,-4.8,4.6,11.90%,195,10.90%,165,14.90%,0.79,0.6
Nova,Jin Air Green Wings,Support,45,31%,49%,19,88,179,2.3,63.70%,6.10%,21.50%,18%,-104,-72,-0.8,1.5,4.80%,115,7.70%,95,9.00%,1.64,0.48
PawN,KT Rolster,Middle,1,0%,,4,5,1,1,71.40%,57.10%,33.30%,0%,48,-424,-5,9.9,26.80%,368,28.90%,275,28.00%,0.64,0.28
Peanut,Kingzone DragonX,Jungle,30,73%,50%,61,51,174,4.6,67.70%,17.60%,22.10%,53%,121,201,3.1,5.8,15.60%,225,12.30%,216,18.20%,0.53,0.64
Pilot,MVP,ADC,38,29%,61%,69,56,141,3.8,76.10%,25.00%,14.10%,16%,-55,-56,0.2,10.2,31.70%,500,31.60%,277,27.10%,0.41,0.27
Pirean,SK Telecom T1,Middle,19,53%,41%,45,34,65,3.2,67.50%,27.60%,19.90%,16%,-3,-10,1.2,9.5,26.20%,419,23.90%,270,23.30%,0.56,0.25
PraY,Kingzone DragonX,ADC,43,65%,54%,104,64,176,4.4,62.20%,23.10%,17.00%,19%,126,269,7.3,10.3,28.80%,480,27.90%,300,25.40%,0.46,0.35
Prince,bbq Olivers,ADC,4,0%,25%,4,14,12,1.1,55.20%,13.80%,21.90%,50%,314,66,8,8.6,29.30%,343,24.20%,231,26.00%,0.55,0.19
Rascal,Kingzone DragonX,Top,3,100%,33%,9,2,21,15,68.20%,20.50%,9.50%,0%,190,89,-6.7,8.7,26.00%,417,19.30%,305,24.70%,0.66,0.12
Rather,Griffin,Middle,8,63%,50%,19,12,32,4.3,75.00%,27.90%,22.60%,13%,-7,-255,3.9,9.9,25.60%,400,23.90%,273,23.20%,0.38,0.31
Ruler,Gen.G,ADC,44,64%,51%,118,54,159,5.1,73.30%,31.20%,15.50%,11%,125,-36,3,10.7,32.20%,569,34.30%,315,27.80%,0.44,0.43
Rush,KT Rolster,Jungle,7,57%,43%,14,23,30,1.9,61.10%,19.40%,31.90%,57%,5,-66,-5,5.5,15.10%,225,13.80%,206,17.80%,0.33,0.45
Sangyoon,Hanwha Life Esports,ADC,45,56%,45%,136,53,153,5.5,69.00%,32.50%,12.70%,27%,74,106,1.1,10.4,31.40%,511,30.10%,310,27.40%,0.38,0.28
Score,KT Rolster,Jungle,36,69%,52%,72,71,194,3.7,72.70%,19.70%,22.80%,47%,180,253,4.6,5.2,13.30%,222,12.10%,197,17.00%,0.37,0.57
SeongHwan,Hanwha Life Esports,Jungle,45,56%,48%,61,97,242,3.1,72.30%,14.60%,23.20%,51%,52,4,0.3,4.7,12.00%,182,11.20%,177,15.80%,0.78,0.52
Smeb,KT Rolster,Top,42,69%,72%,95,60,185,4.7,64.40%,21.80%,16.00%,29%,80,62,2.7,9.4,27.00%,476,25.60%,281,24.10%,0.5,0.18
SoHwan,Jin Air Green Wings,Top,45,31%,31%,52,76,139,2.5,61.40%,16.70%,18.50%,16%,-16,27,-0.7,9,25.50%,350,22.70%,247,23.60%,0.52,0.16
Spirit,Afreeca Freecs,Jungle,36,58%,53%,66,62,191,4.1,71.40%,18.30%,21.80%,33%,48,82,3.3,5.1,13.10%,207,12.80%,190,16.60%,0.69,0.53
Sword,Griffin,Top,41,68%,69%,101,67,187,4.3,62.20%,21.80%,24.90%,12%,-124,12,-3.8,8.9,25.00%,407,23.40%,269,22.70%,0.53,0.2
Tarzan,Griffin,Jungle,41,68%,51%,76,55,282,6.5,77.30%,16.40%,20.40%,46%,-63,-207,-5.7,5,13.10%,231,13.50%,195,16.50%,0.64,0.48
Teddy,Jin Air Green Wings,ADC,45,31%,56%,104,71,114,3.1,70.10%,33.40%,17.30%,20%,-49,-7,2.1,10.7,31.70%,498,31.30%,290,27.60%,0.43,0.34
Tempt,bbq Olivers,Middle,43,21%,44%,95,72,127,3.1,75.30%,32.20%,16.50%,14%,81,55,3.7,9.5,27.80%,405,28.30%,253,25.40%,0.53,0.18
Thal,SK Telecom T1,Top,44,45%,50%,89,100,141,2.3,58.40%,22.60%,21.90%,20%,27,51,-1.3,9.4,27.30%,419,24.00%,273,24.20%,0.47,0.15
Trick,bbq Olivers,Jungle,36,25%,65%,44,81,150,2.4,77.90%,17.70%,23.70%,25%,-125,-116,-2.4,5,13.80%,187,12.80%,171,17.30%,0.35,0.32
TusiN,Afreeca Freecs,Support,46,57%,53%,35,92,297,3.6,71.60%,7.50%,24.70%,24%,49,33,2.3,1.9,5.90%,130,8.00%,120,10.40%,1.72,0.4
Ucal,KT Rolster,Middle,42,69%,33%,114,69,174,4.2,66.80%,26.50%,18.80%,24%,4,29,-0.1,9.5,26.60%,442,23.60%,279,24.00%,0.5,0.19
UmTi,Jin Air Green Wings,Jungle,41,34%,37%,55,89,167,2.5,74.20%,18.40%,23.90%,46%,-12,-14,-1.5,5,12.90%,212,13.60%,174,16.60%,0.74,0.62
Viper,Griffin,ADC,41,68%,49%,104,46,219,7,69.80%,22.50%,17.10%,32%,17,149,2.6,10.3,29.60%,470,27.20%,302,25.80%,0.44,0.3
Wolf,SK Telecom T1,Support,6,0%,50%,2,25,27,1.2,87.90%,6.10%,27.50%,17%,-101,-284,-3.3,1.3,3.60%,152,11.60%,92,8.70%,1.13,0.42
Yaharong,Jin Air Green Wings,Middle,44,32%,68%,80,76,126,2.7,66.20%,25.70%,18.90%,23%,-7,6,1.2,9.1,25.40%,381,25.60%,243,23.40%,0.45,0.16
