"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Afreeca Freecs",43,20,23,37.6,470,505,0.93,0.6,-0.19,"-0.2%",47.2,-0.7,-185,"49%","42%","49%","67%","33%","39%","33%","47%","45%","50.3%","48.4%",3.35,0.75,1.34
"CJ Entus",44,12,32,37.8,396,528,0.75,0.56,-0.57,"-5.0%",40.1,-12.8,-713,"41%","55%","32%","15%","55%","45%","46%","43%","47%","48.6%","48.3%",3.4,0.74,1.37
"ESC Ever",45,16,29,37.4,389,499,0.78,0.53,-0.31,"-4.0%",47.8,-12.2,-194,"53%","67%","44%","24%","49%","45%","46%","36%","39%","49.3%","48.8%",3.46,0.8,1.48
"Jin Air Green Wings",45,19,26,42.7,415,463,0.9,0.46,-0.29,"-5.5%",49.1,-6.8,-177,"44%","58%","49%","46%","49%","47%","30%","38%","42%","49.4%","46.6%",3.64,0.92,1.59
"KT Rolster",44,29,15,39.7,609,427,1.43,0.59,0.7,"5.3%",58.5,7.4,641,"73%","50%","64%","71%","43%","57%","60%","59%","54%","50.0%","53.1%",3.54,0.86,1.54
"Longzhu Gaming",41,16,25,40.3,398,420,0.95,0.49,0.15,"0.4%",54.9,-15.8,521,"56%","41%","59%","50%","51%","47%","43%","54%","53%","49.9%","50.0%",3.56,0.83,1.56
"MVP",41,18,23,35.5,438,515,0.85,0.65,-0.53,"-2.9%",41.8,2.1,-792,"46%","37%","37%","32%","46%","48%","70%","46%","55%","49.5%","49.3%",3.43,0.7,1.3
"ROX Tigers",40,30,10,35.5,590,423,1.39,0.71,0.46,"6.8%",53.3,21.7,372,"50%","48%","65%","63%","48%","61%","44%","65%","60%","50.8%","52.2%",3.63,0.69,1.32
"Samsung Galaxy",40,24,16,40.2,419,447,0.94,0.54,0.23,"0.2%",54.1,5.9,351,"50%","38%","55%","55%","58%","49%","65%","40%","48%","51.0%","51.3%",3.7,0.8,1.58
"SK Telecom T1",41,28,13,36.9,521,427,1.22,0.63,0.41,"5.9%",53.9,14.4,246,"37%","63%","49%","75%","71%","63%","73%","61%","62%","51.4%","52.5%",3.44,0.67,1.47